chars,annotation,start,end,id,name
8819,dir,6524,6527,7, Der gute Handel (1857)
8819,dir,6555,6558,7, Der gute Handel (1857)
8819,dir,3951,3954,7, Der gute Handel (1857)
8819,dir,6613,6616,7, Der gute Handel (1857)
8819,dir,4689,4692,7, Der gute Handel (1857)
19551,dir,4588,4591,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,11739,11742,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,15115,15118,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,17756,17759,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,4855,4858,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,3762,3765,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,1239,1242,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,13925,13928,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dir,9769,9772,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5281,dir,4611,4614,2, Katze und Maus in Gesellschaft (1857)
5281,dir,988,991,2, Katze und Maus in Gesellschaft (1857)
5281,dir,3996,3999,2, Katze und Maus in Gesellschaft (1857)
7839,dir,4703,4706,1, Der Froschkönig oder der eiserne Heinrich
7839,dir,2011,2014,1, Der Froschkönig oder der eiserne Heinrich
7839,dir,2264,2267,1, Der Froschkönig oder der eiserne Heinrich
7839,dir,2183,2186,1, Der Froschkönig oder der eiserne Heinrich
7839,dir,5462,5465,1, Der Froschkönig oder der eiserne Heinrich
7839,du garstiger Frosch,5894,5913,1, Der Froschkönig oder der eiserne Heinrich
19551,der Küster,2115,2125,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der Küster,1780,1790,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,des Königs Räthe,8172,8188,3, Marienkind (1857)
7839,ein König,110,119,1, Der Froschkönig oder der eiserne Heinrich
19551,sechs große Männer,15378,15396,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,die Alte,652,660,5, Der Wolf und die sieben jungen Geislein (1857)
10219,der König,5547,5556,3, Marienkind (1857)
10219,der König,7481,7490,3, Marienkind (1857)
10219,der König,9224,9233,3, Marienkind (1857)
8819,der König,8554,8563,7, Der gute Handel (1857)
8819,der König,3911,3920,7, Der gute Handel (1857)
8819,der König,4400,4409,7, Der gute Handel (1857)
8819,der König,7287,7296,7, Der gute Handel (1857)
8819,der König,4578,4587,7, Der gute Handel (1857)
19551,der König,14960,14969,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der König,18640,18649,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der König,12961,12970,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der König,12685,12694,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der König,18378,18387,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
7839,der König,4737,4746,1, Der Froschkönig oder der eiserne Heinrich
7839,der König,4465,4474,1, Der Froschkönig oder der eiserne Heinrich
5846,das dritte,2596,2606,5, Der Wolf und die sieben jungen Geislein (1857)
10219,deinen,6882,6888,3, Marienkind (1857)
8819,deinen,6482,6488,7, Der gute Handel (1857)
19551,deinen,16497,16503,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,das sechste,2672,2683,5, Der Wolf und die sieben jungen Geislein (1857)
8819,den Bauer,8631,8640,7, Der gute Handel (1857)
8819,den Bauer,6408,6417,7, Der gute Handel (1857)
8819,Ich,7503,7506,7, Der gute Handel (1857)
19551,Ich,8051,8054,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Ich,13171,13174,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Ich,7967,7970,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Ich,4743,4746,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Ich,18226,18229,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Ich,15043,15046,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,jedem,1322,1327,5, Der Wolf und die sieben jungen Geislein (1857)
5846,jedem,2158,2163,5, Der Wolf und die sieben jungen Geislein (1857)
7839,Heinrich,7111,7119,1, Der Froschkönig oder der eiserne Heinrich
19551,Euch,11138,11142,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,Euch,379,383,5, Der Wolf und die sieben jungen Geislein (1857)
5846,Euch,1332,1336,5, Der Wolf und die sieben jungen Geislein (1857)
5846,Euch,836,840,5, Der Wolf und die sieben jungen Geislein (1857)
5846,Euch,2168,2172,5, Der Wolf und die sieben jungen Geislein (1857)
19551,ein Fuhrmann,7898,7910,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
8819,Bauer,5480,5485,7, Der gute Handel (1857)
8819,Bauer,7422,7427,7, Der gute Handel (1857)
5846,der Müller,1934,1944,5, Der Wolf und die sieben jungen Geislein (1857)
8819,Juden,8101,8106,7, Der gute Handel (1857)
8819,der große,2827,2836,7, Der gute Handel (1857)
5281,Die Maus,3912,3920,2, Katze und Maus in Gesellschaft (1857)
7839,Königstochter,3353,3366,1, Der Froschkönig oder der eiserne Heinrich
7839,Königstochter,1167,1180,1, Der Froschkönig oder der eiserne Heinrich
7839,Königstochter,4276,4289,1, Der Froschkönig oder der eiserne Heinrich
7839,Königstochter,4403,4416,1, Der Froschkönig oder der eiserne Heinrich
5846,das jüngste,3462,3473,5, Der Wolf und die sieben jungen Geislein (1857)
5846,unsere Mutter,1476,1489,5, Der Wolf und die sieben jungen Geislein (1857)
5846,unsere Mutter,975,988,5, Der Wolf und die sieben jungen Geislein (1857)
10219,das,111,114,3, Marienkind (1857)
10219,das,5863,5866,3, Marienkind (1857)
5281,das,1127,1130,2, Katze und Maus in Gesellschaft (1857)
5846,das,2898,2901,5, Der Wolf und die sieben jungen Geislein (1857)
19551,zwei große schwarze Katzen,10591,10617,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,das Kind,8070,8078,3, Marienkind (1857)
10219,das Kind,8000,8008,3, Marienkind (1857)
10219,das Kind,7286,7294,3, Marienkind (1857)
5281,das Kind,1990,1998,2, Katze und Maus in Gesellschaft (1857)
5281,das Kind,3199,3207,2, Katze und Maus in Gesellschaft (1857)
19551,sichs,14229,14234,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,den Englein,1888,1899,3, Marienkind (1857)
8819,der Metzger,3758,3769,7, Der gute Handel (1857)
7839,ein garstiger Frosch,3791,3811,1, Der Froschkönig oder der eiserne Heinrich
19551,Der Wirth,8584,8593,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,du,6046,6048,3, Marienkind (1857)
10219,du,1316,1318,3, Marienkind (1857)
10219,du,8805,8807,3, Marienkind (1857)
10219,du,4000,4002,3, Marienkind (1857)
10219,du,4056,4058,3, Marienkind (1857)
10219,du,7685,7687,3, Marienkind (1857)
10219,du,8786,8788,3, Marienkind (1857)
10219,du,6788,6790,3, Marienkind (1857)
10219,du,6827,6829,3, Marienkind (1857)
10219,du,3908,3910,3, Marienkind (1857)
10219,du,1356,1358,3, Marienkind (1857)
10219,du,3682,3684,3, Marienkind (1857)
10219,du,6171,6173,3, Marienkind (1857)
10219,du,1165,1167,3, Marienkind (1857)
10219,du,6945,6947,3, Marienkind (1857)
10219,du,567,569,3, Marienkind (1857)
10219,du,3423,3425,3, Marienkind (1857)
10219,du,6028,6030,3, Marienkind (1857)
10219,du,7810,7812,3, Marienkind (1857)
10219,du,7701,7703,3, Marienkind (1857)
8819,du,4792,4794,7, Der gute Handel (1857)
8819,du,2583,2585,7, Der gute Handel (1857)
8819,du,7611,7613,7, Der gute Handel (1857)
8819,du,5095,5097,7, Der gute Handel (1857)
8819,du,6631,6633,7, Der gute Handel (1857)
8819,du,2922,2924,7, Der gute Handel (1857)
8819,du,4848,4850,7, Der gute Handel (1857)
8819,du,2149,2151,7, Der gute Handel (1857)
8819,du,6479,6481,7, Der gute Handel (1857)
8819,du,2485,2487,7, Der gute Handel (1857)
8819,du,5507,5509,7, Der gute Handel (1857)
8819,du,4590,4592,7, Der gute Handel (1857)
8819,du,5018,5020,7, Der gute Handel (1857)
8819,du,2404,2406,7, Der gute Handel (1857)
8819,du,5574,5576,7, Der gute Handel (1857)
8819,du,2123,2125,7, Der gute Handel (1857)
8819,du,4428,4430,7, Der gute Handel (1857)
8819,du,3991,3993,7, Der gute Handel (1857)
19551,du,5972,5974,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,5801,5803,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,3037,3039,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,16324,16326,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,2837,2839,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,8041,8043,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,6133,6135,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,14534,14536,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1132,1134,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,8131,8133,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1164,1166,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1734,1736,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,7961,7963,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,17214,17216,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,11744,11746,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1696,1698,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,3059,3061,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,16838,16840,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,17127,17129,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,5102,5104,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,7403,7405,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1195,1197,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1107,1109,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,5240,5242,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,3713,3715,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,16484,16486,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,13255,13257,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,16907,16909,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,18651,18653,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,16870,16872,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,18409,18411,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,9849,9851,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,5165,5167,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,2853,2855,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,9759,9761,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,du,1085,1087,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5281,du,1278,1280,2, Katze und Maus in Gesellschaft (1857)
5281,du,2387,2389,2, Katze und Maus in Gesellschaft (1857)
5281,du,3484,3486,2, Katze und Maus in Gesellschaft (1857)
5281,du,3334,3336,2, Katze und Maus in Gesellschaft (1857)
5281,du,1199,1201,2, Katze und Maus in Gesellschaft (1857)
5281,du,4886,4888,2, Katze und Maus in Gesellschaft (1857)
5281,du,1893,1895,2, Katze und Maus in Gesellschaft (1857)
5281,du,5026,5028,2, Katze und Maus in Gesellschaft (1857)
5281,du,4950,4952,2, Katze und Maus in Gesellschaft (1857)
5281,du,4936,4938,2, Katze und Maus in Gesellschaft (1857)
5281,du,2939,2941,2, Katze und Maus in Gesellschaft (1857)
5281,du,1861,1863,2, Katze und Maus in Gesellschaft (1857)
5281,du,4634,4636,2, Katze und Maus in Gesellschaft (1857)
5281,du,5255,5257,2, Katze und Maus in Gesellschaft (1857)
7839,du,1654,1656,1, Der Froschkönig oder der eiserne Heinrich
7839,du,1909,1911,1, Der Froschkönig oder der eiserne Heinrich
7839,du,5725,5727,1, Der Froschkönig oder der eiserne Heinrich
7839,du,2279,2281,1, Der Froschkönig oder der eiserne Heinrich
7839,du,4510,4512,1, Der Froschkönig oder der eiserne Heinrich
7839,du,3670,3672,1, Der Froschkönig oder der eiserne Heinrich
7839,du,1597,1599,1, Der Froschkönig oder der eiserne Heinrich
7839,du,4480,4482,1, Der Froschkönig oder der eiserne Heinrich
7839,du,2295,2297,1, Der Froschkönig oder der eiserne Heinrich
7839,du,5484,5486,1, Der Froschkönig oder der eiserne Heinrich
7839,du,1159,1161,1, Der Froschkönig oder der eiserne Heinrich
7839,du,5517,5519,1, Der Froschkönig oder der eiserne Heinrich
7839,du,2126,2128,1, Der Froschkönig oder der eiserne Heinrich
7839,du,4350,4352,1, Der Froschkönig oder der eiserne Heinrich
7839,du,2860,2862,1, Der Froschkönig oder der eiserne Heinrich
7839,du,1182,1184,1, Der Froschkönig oder der eiserne Heinrich
7839,du,4326,4328,1, Der Froschkönig oder der eiserne Heinrich
7839,du,1369,1371,1, Der Froschkönig oder der eiserne Heinrich
7839,du,5879,5881,1, Der Froschkönig oder der eiserne Heinrich
5846,du,1526,1528,5, Der Wolf und die sieben jungen Geislein (1857)
5846,du,1530,1532,5, Der Wolf und die sieben jungen Geislein (1857)
5846,du,1065,1067,5, Der Wolf und die sieben jungen Geislein (1857)
5846,du,967,969,5, Der Wolf und die sieben jungen Geislein (1857)
5846,du,2278,2280,5, Der Wolf und die sieben jungen Geislein (1857)
5846,du,1876,1878,5, Der Wolf und die sieben jungen Geislein (1857)
5281,Die Maus,3645,3653,2, Katze und Maus in Gesellschaft (1857)
19551,mein Bruder,1509,1520,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
8819,seine Kuh,43,52,7, Der gute Handel (1857)
5281,einer Maus,72,82,2, Katze und Maus in Gesellschaft (1857)
8819,König,5147,5152,7, Der gute Handel (1857)
8819,König,5588,5593,7, Der gute Handel (1857)
5846,der Wolf,1093,1101,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,916,924,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,5046,5054,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,2488,2496,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,3832,3840,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,3591,3599,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1854,1862,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1538,1546,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1800,1808,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1073,1081,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1557,1565,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,1362,1370,5, Der Wolf und die sieben jungen Geislein (1857)
5846,der Wolf,2921,2929,5, Der Wolf und die sieben jungen Geislein (1857)
10219,die Dreieinigkeit,2665,2682,3, Marienkind (1857)
5281,meiner,1028,1034,2, Katze und Maus in Gesellschaft (1857)
8819,meine Tochter,3994,4007,7, Der gute Handel (1857)
19551,meine Tochter,18688,18701,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Der älteste,1427,1438,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
8819,ihnen,386,391,7, Der gute Handel (1857)
8819,ihnen,890,895,7, Der gute Handel (1857)
19551,ihnen,11114,11119,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,Die Geislein,534,546,5, Der Wolf und die sieben jungen Geislein (1857)
8819,Der Bauer,6643,6652,7, Der gute Handel (1857)
8819,Der Bauer,8697,8706,7, Der gute Handel (1857)
19551,Der Fuhrmann,8005,8017,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der Fuhrmann,8293,8305,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,Der Holzhacker,679,693,3, Marienkind (1857)
7839,der Königssohn,7393,7407,1, Der Froschkönig oder der eiserne Heinrich
7839,der Königssohn,6998,7012,1, Der Froschkönig oder der eiserne Heinrich
19551,ers,4062,4065,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Die Frau,4105,4113,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,ihrer Mutter,5800,5812,5, Der Wolf und die sieben jungen Geislein (1857)
19551,Männer,14337,14343,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
8819,den Juden,7357,7366,7, Der gute Handel (1857)
19551,der älteste,366,377,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,seinen,6269,6275,3, Marienkind (1857)
10219,seinen,6112,6118,3, Marienkind (1857)
8819,seinen,8367,8373,7, Der gute Handel (1857)
19551,seinen,15971,15977,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,seinen,14868,14874,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,seinen,14303,14309,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
7839,seinen,3042,3048,1, Der Froschkönig oder der eiserne Heinrich
7839,seinen,2535,2541,1, Der Froschkönig oder der eiserne Heinrich
5846,seinen,2850,2856,5, Der Wolf und die sieben jungen Geislein (1857)
5846,seinen,478,484,5, Der Wolf und die sieben jungen Geislein (1857)
19551,das Gespenst,3355,3367,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
7839,Der,6022,6025,1, Der Froschkönig oder der eiserne Heinrich
19551,den schönen Menschen,12841,12861,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5281,du Mäuschen,391,402,2, Katze und Maus in Gesellschaft (1857)
5846,die alte Geis,3086,3099,5, Der Wolf und die sieben jungen Geislein (1857)
8819,der Jude,8596,8604,7, Der gute Handel (1857)
8819,der Jude,7130,7138,7, Der gute Handel (1857)
8819,der Jude,6307,6315,7, Der gute Handel (1857)
8819,der Jude,6124,6132,7, Der gute Handel (1857)
